Date,Symbol,apturnover,arturnover,assetturnover,croic,commontocap,currentratio,ebitdagrowth,fcffgrowth,fcfftointerestex,grossmargin,investedcapitalturnover,leverageratio,nnep,operatingmargin,profitmargin,roe_simple,stdebttocap,enterprisevalue,country,employees,security_delisted,sic,ipo_price,current_price,success
2019-06-27,ADPT,7.1322,9.7319,0.1367,,2.0,7.8236,0.16541,1.961549,,0.738172,1.0362,1.4248,-0.02713,-0.921477,-0.806456,-0.120142,0.0,1387125225,United States of America,0.0,FALSE,2836,39.01,15.71,
2019-06-26,CMBM,4.9829,4.4872,1.6979,-0.065071,0.385635,1.9054,-0.463267,,-0.6535,0.491443,3.2925,16.2484,0.259188,0.004872,-0.065914,-0.440807,0.091307,216809017.4,Cayman Islands,0.0,FALSE,3663,10.08,20.63,
2019-06-20,BCEL,,,,-17.949528,0.999717,22.1617,-0.874292,,-8707.0167,,,1.0455,-0.111489,,,-0.36097,0.0,61591687.3,United States of America,0.0,FALSE,2834,19.9,2.06,
2019-06-20,WORK,5.8014,5.4048,0.4775,,0.979156,1.8664,-3.043687,-2.641175,-408.0263,0.845832,-14.7802,1.6868,-0.189679,-0.93315,-0.90155,-0.801847,0.0,3285151360,United States of America,0.0,True,7385,38.5,1.0,
2019-06-13,FVRR,1.1465,55.008,0.6164,-3.603367,0.996631,2.2836,0.059967,-0.9861,,0.792441,34.3678,1.7131,-0.093756,-0.324545,-0.313235,-0.225383,0.003369,-137524000,Israel,0.0,FALSE,7389,26.0,77.29,
2019-05-23,BCYC,,5.2857,0.1439,-28.213969,1.0,11.8066,-0.415549,,,1.0,-2.7802,1.3177,-0.156899,-1.905587,-2.21781,-0.328419,0.0,12040839.1,,0.0,FALSE,2834,13.37,46.33,
2019-05-10,UBER,28.7251,12.1894,0.4664,,0.679272,2.4694,-3.707101,-3.155217,-16.3134,0.533769,-2.5697,2.5369,-0.155473,-0.661231,-0.654769,-0.599859,0.0,20523018220,United States of America,0.0,FALSE,7372,42.0,34.82,
2019-05-09,MIST,,,,,1.0,14.7111,-1.429153,,,,,1.0657,-0.142981,,,-0.480599,0.0,132895847.5,CANADA,0.0,FALSE,2834,15.61,6.93,
2019-05-09,SPFI,,,0.0542,,0.598934,,,,,,0.3153,11.4651,0.0,,0.181257,0.095433,0.0727,115893532.4,United States of America,0.0,FALSE,6022,17.29297067,28.94,
2019-05-03,RRBI,,,0.0414,,1.0,,,,,,0.316,8.6374,,,0.311824,0.098548,0.0,-100014392,United States of America,0.0,FALSE,6022,54.41397427,51.59,
2019-05-02,BYND,8.9717,11.3041,1.0173,-0.877589,0.926118,8.4616,0.954651,-0.14582,-27.5905,0.334867,3.0854,1.268,-0.090041,-0.001642,-0.041769,-0.032396,0.026697,2950626141,United States of America,0.0,FALSE,2000,46.0,61.2,
2019-04-18,PINS,12.7039,4.2458,0.6445,-3.757048,1.0,11.7352,-24.269671,-2.519965,-486.4498,0.685933,4.1301,1.2251,-0.332455,-1.21536,-1.1913,-0.672712,0.0,6124271720,United States of America,0.0,FALSE,7370,23.75,28.46,
2019-04-17,TPTX,,,,,1.0,29.5715,-2.039056,,,,,1.0471,-0.069482,,,-0.178387,0.0,1093590516,United States of America,0.0,FALSE,2834,24.25,38.08,
2019-04-11,TUFN,2.8473,6.6759,0.9226,,1.0,2.999,-25.452869,-1.754342,,0.807718,-4.7593,2.458,-0.136875,-0.261673,-0.272286,-0.298117,0.0,-118885000,,0.0,FALSE,7373,18.05,8.51,
2019-04-04,NGM,,,0.3306,,1.0,8.9443,-20.267473,,,1.0,-6.1729,1.2108,-0.029974,-0.476512,-0.413303,-0.1294,0.0,585490218.8,United States of America,0.0,FALSE,2834,15.0,14.79,
2019-03-29,PUYI,,5.5897,0.5701,,0.992138,6.1599,-0.152239,,145.4282,1.152988,9.325,1.1807,0.016143,0.275942,0.25598,0.130063,0.0,125687295.5,China,0.0,FALSE,6282,6.45,6.39,
2019-03-20,TIGR,,0.9903,0.1269,,0.985657,1.31,0.902577,3.485229,53.5418,1.0,-1.0403,2.943,-0.007961,-0.103519,-0.101425,-0.028073,0.0,5838577081,China,0.0,FALSE,6211,8.1,4.32,
2019-03-07,SWAV,8.0238,8.3948,0.3009,-4.861649,0.933071,9.026,-0.205549,,-43.9325,0.600275,5.0322,1.2804,-0.144033,-1.207608,-1.190603,-0.26529,0.03229,868370045.8,United States of America,0.0,FALSE,3841,24.8,134.61,
2019-02-26,SLGG,0.6158,2.7759,0.1116,,1.0,9.6205,,,,0.526753,0.2168,2.9228,-1.911869,-19.160517,-28.301661,-2.282154,0.0,10188609.4,United States of America,0.0,FALSE,7900,11.0,1.98,
2019-02-15,MITO,,,0.6178,,0.515294,1.5434,0.363753,-5.198366,-2.5273,1.0,-0.5683,-0.4319,1.563325,-2.173472,-4.629582,-5.65379,0.439166,8964667.3,United States of America,0.0,FALSE,2834,12.1,0.6566,
2019-02-08,RMG,2.497,,0.8182,,0.977029,1.0466,-0.105995,0.826631,-1.3766,0.72167,27.901,3.6017,-0.354141,-0.209368,-0.254041,-0.631172,0.015027,16781540,United States of America,34.0,FALSE,7372,9.8,2.19,
2019-01-17,RBKB,,,0.0408,-0.526598,0.605941,,0.315065,-2.435516,-8.5076,,0.2683,10.9741,0.0,,0.157431,0.054267,0.0,180585946.6,United States of America,0.0,FALSE,6036,11.3,10.75,
2018-12-27,PHCF,,0.8305,0.2493,-1.275034,0.933884,6.3975,-8.732496,-1.710175,,1.0,0.4522,1.2983,-0.467003,-0.807541,-0.975561,-0.249244,0.023704,-4402866,China,0.0,FALSE,6282,6.0,0.9,
2018-12-14,QFIN,0.9286,3.2569,0.8377,-0.609168,1.0,2.5372,6.720396,,,0.850222,4.061,2.037,0.007213,0.369801,0.26834,0.26895,0.0,158567770.4,China,0.0,FALSE,6199,16.58305689,19.58,
2018-12-12,TME,3.3182,14.0268,0.4981,0.228027,0.99865,3.3309,0.088945,1.231725,,0.383303,0.9107,1.1667,-0.100735,0.174085,0.096497,0.048567,0.0,,China,0.0,FALSE,4832,14.1,6.05,
2018-11-21,TLC,6.6431,,,-2.285563,0.771495,3.2818,-0.037866,0.347422,,,,0.8058,2.746055,,,-0.677498,0.02625,-29108671.3,"Taiwan, Province Of China",0.0,True,2834,6.06,1.0,
2018-11-09,TBLTU,5.0251,7.0369,2.7175,,1.07389,0.3089,-6.365815,,5.0995,0.228602,-1.2342,-0.4134,18.940631,-0.421952,-1.808535,1.458461,-0.07389,1082019.5,United States of America,0.0,True,3420,4.9,1.0,
2018-10-31,AXNX,0.1409,,0.007,-6.56501,0.880403,28.0856,-0.842825,,,0.496464,0.1839,1.1832,-0.122949,-45.455446,-45.944837,-0.226718,0.0,-32324589.5,United States of America,87.0,FALSE,3841,16.05,47.64,
2018-10-19,NIU,6.7075,45.2282,1.7222,,0.760152,1.8756,-0.756031,-2.973088,-20.997,0.134408,-16.5828,3.5926,-0.393158,-0.212756,-0.236183,-0.612344,0.239848,-33074127,China,0.0,FALSE,3711,8.5,13.39,
2018-10-18,PHAS,,,0.0173,,0.871635,13.6832,-1.70107,,-4.2951,1.0,-0.16,1.7876,-0.392081,-29.407186,-35.697605,-0.468239,0.0,-37158358.4,United States of America,22.0,FALSE,2834,5.0,2.1,
2018-10-04,KOD,,,,,1.0,18.742,0.186199,-2.551091,-2.4764,,,1.4011,-0.57649,,,-0.477272,0.0,18079256.5,United States of America,28.0,FALSE,2836,10.0,59.96,
2018-09-28,GRTS,,,0.0202,-2.202178,,,-0.556281,0.529035,,1.0,0.1086,1.2058,-0.500217,-55.251896,-54.570345,,,137802891.5,United States of America,113.0,FALSE,2836,15.2,5.17,
2018-09-27,STRO,,18.6817,0.2912,,0.899332,5.7641,-1.342762,38.385863,,1.0,-1.0645,2.1105,-0.093912,-0.96887,-0.919259,-0.268491,0.032298,-137822947.5,United States of America,147.0,FALSE,2836,15.12,10.39,
